bintang,komentar
1,"Jujur saya lebih suka belanja disini tapi setelah diperbarui saya jadi males mau belanja, karena harga yang tertera menjadi berbeda ketika akan di checkout dan ongkir jadi semakin mahal,voucer nya juga semakin sedikit padahal disitu tertulis promo tapi ketika di checkout tidak ada, kadang ketika memilih barang tiba-tiba sering keluar sendiri padahal jaringan nya sedang stabil😒, tolong diperbaiki lagi aplikasinya🙏"
1,Lazada apa apaan ga pesen ga apa knpa paket datang mending klo paket nya berguna ini mah paket uang mainan klo lgi sepi jangan gtu dong klo jualan yg prepesional klo jualan untuk saya ads uang untuk byar tpi saya sama keluarga saya ga ngerasa pesen knpa ada paket datang uang mainan gimna nih lah mkin sini mkin ngaco lazada saya sudah ke 2klinya gini.
1,"Hati hati dengan seller di lazada, banyak penipu,apalagi seller NUSANTARA STORE COMPENY,menjual barang palsu, saya beli barang tidak berfungsi, dikembalikan, malah saya di maki maki, kata-katanya kasar bawa nama binatang, uang pengembalian dana tidak di proses, tolong donk seller seller penipu jangan di lazada, padahal saya sering belanja di lazada, karena masalah diatas, kemungkinan saya sudah stop belanja di lazada, tolong pihak lazada direspon kritik-kritik atau saran dari pembeli, terimakasi"
1,"aplikasi tolol, paylater ku malah di nonaktifkan padahal gk pernah telat bayar malah di gituin, padahal udh sering pake paylater nya tolol sumpah gk guna, staff nya gk guna semua ngen"
1,"Paket belum sampe dan waktu saya liat di detail pengiriman tiba tiba jadi pengiriman gagal ,alasan ny pelanggan menolak di tempat padahal paket nya aja belom sampe ke tangan saya ,kurir nya juga ga ada informasi"
1,"Lazada beda sama yang dulu,sekarang makin parah banyak menipu pelanggannya, apalagi di game lazpanen udah sekian hari nyiram tanaman waktu penukaran berasnya tidak di kirim kirim sampe sekarang, kalo penukaran ngapain ada game itu kalo mau membohongi pelanggan, sorry bukan ngemis cuma karna hadiah sekilo beras tapi butuh ke jujuran, bukannya menarik perhatian pelanggan yang ada malah bikin kecewa pelanggan, payah bener banyak nipu, bintang 1 dulu kalo udah benar dan jujur saya kasih 5 bintang"
1,"ini lazada kenapa yach,abis update malah tambah ngaco biaya ongkirnya, dan jg toko yg resmi/flagship jg dihilangin, malahan toko lokal atau toko kw/penipu malah semakin banyak, gimana bisa maju kalo kaya gini terus"
1,Katanya penguna br dapet hadiah tp di pehapein aja dasar!!!udah mahal gak murah xxxxxxxxx!!!!!!!!!!
1,Sangat tidak mendukung konsumen.kasian konsumen salah beli tapi tidak bisa di kembalikan.terlalu memihak kepada seller.sangat kecewa.uninstal solusi nya.masih banyak aplikasi online shop yg lain.terima kasih
1,"Lazada ini aku gua ilang anjir,emang udah lama gak login tapi kok bisa ilang balikin akun gua woy,gak bisa daftar nomor ponsel lagi udah ke daftarkatanya woy (udah bener sih sekarang,tapi kenapa lu doang yang banyak iklan sana sini)"
1,"skrg tampilan harga dilazada koq bukan harga produk yg sebenarnya, seolah2 harga jebakan biar orang nge klik. harga2nya ga jelas."
1,"Paket Belum sampai, Sudah melampaui batas estimasi pengiriman, status pengiriman tidak berubah (paket dicuri)"
1,"Dapat limit payleter dari 1 juta skrang udah 7 juta,,tpi ga bisa di pakai,,buat apa ngasih limit kalau ga bisa di pakai,,kecewa sama lazada"
1,Tdk membatalkan pesanan.. Kenapa tiba2 ada pesan masuk sya membatalkan pesaman.. Sedangkan kurir tdk pernah menghubungi sya..
1,"Jasa pengiriman lex id di lazada gak pernah sampai sampa udah beberapa minggu belum juga samapai, sanget kecewa sekali jasa pengiriman nya buruk, lama lama pindah ke toko oren"
1,"Lazada gk jelas bnr2 ngeselin ya. Wifi lancar normal kok untuk buka aplikasi Lazada dari tadi laporan jaringan ,gk jelas emang ya. Sampai kesal saya . Orang mau buka aplikasi mlh GK bisa"
1,kalau bikin program yang real. laz affiliates itu program apa? komisi tidak di transfer. masa proses sampai 3 bulan. laporan juga tidak ditanggapi. marketplace tidak jelas & lelet.
1,Harganya gk konsisten jatuhnya jadi mahal klu pesen barang klu pesen barang yg sama jatuhnya jadi mahal gk ada untungny
